job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
SharePoint Migration Expert / Online Developer,Diverse Lynx,2.8,(62 Reviews),3-7 Yrs,Not disclosed,Gurgaon,Job Descriptions: Client facing experience and good communications skills Must have goo...,"communications
Bootstrap
BI
SharePoint
HTML
jQuery
PowerApps
JavaScript",30+ DAYS AGO
Associate Manager - Tableau Developer,eClerx,3.6,(2769 Reviews),4-6 Yrs,Not disclosed,Mumbai,Intermediate SQL&VBA Intermediate MS Access Advanced Excel / Macros Beginner Web Analyt...,"Tableau
salesforce com
Advanced
Data Analysis
Macros
Web Analytics
Excel
MS Access",18 DAYS AGO
Senior ML Engineer,Microsoft,4.3,(667 Reviews),3-7 Yrs,Not disclosed,Noida,"Responsibilities Design, develop, validate, test, deploy, maintain and improve ML model...","IT Skills
Java
Python
Testing
Data Science
Machine Learning
Cloud
Engineering services",30+ DAYS AGO
Senior Frontend Engineer,Fueled,5,(3 Reviews),3-6 Yrs,Not disclosed,Noida,You have experience applying designs from Sketch / Figma files 4 years of professional ...,"IT Skills
Software Development
CSS
Javascript
Web technologies
Front end
Architecture
Coding",30+ DAYS AGO
Sr. Frontend Engineer,Galytix,3.6,(13 Reviews),2-6 Yrs,Not disclosed,Gurgaon,8 web development (Angular JS/ Djs / Javascript/CSS) experienceExperience in data visua...,"CSS
data visualisation
Karma
D3 js
REST APIs
Jasmine
RESTfull API
Selenium",30+ DAYS AGO
"Senior Backend Engineer, NodeJS",Fueled,5,(3 Reviews),4-8 Yrs,Not disclosed,Noida,"As a Senior Web Engineer, you ll work in a cross-functional and collaborative environme...","IT Skills
Python
Software Development
Cloud
Javascript
AWS
Data modeling
Coding",19 DAYS AGO
PHP Developer,NetCreativeMind Solutions Private Limited,3.3,(30 Reviews),3-8 Yrs,Not disclosed,Delhi,"Key Skills: Open Source Application, Developer, Website Developer, Open source Web Port...","communication
CI Framework
HTML
My SQL
Jquery
Open Source Application
Maria DB
MVC Architecture",30+ DAYS AGO
Senior Automation Test Engineer,Builder.ai,2.8,(9 Reviews),4-8 Yrs,Not disclosed,Gurgaon/Gurugram,DescriptionWe are looking for a technical leader to help us achieve and maintain maximu...,"Selenium Webdriver
Robot Framework
Automation Testing
IT Skills
Python
Software Development
Testing
Selenium",27 DAYS AGO
Android Developers,Vallesoft,5,(3 Reviews),1-6 Yrs,Not disclosed,Delhi,Android mobile application developer with minimum of 1-2 applications developed and pub...,"Android
SQLite
object oriented design
Native Android
Eclipse
SVN
social media APIs
android application",30+ DAYS AGO
Sr. Cloud DevOps Engineer,Anicalls,4.7,(2 Reviews),6-9 Yrs,Not disclosed,Noida,Experience with public cloud migrations / transformations Must be highly collaborative ...,"Terraform
automation tooling
Jenkins
ECS
service
Puppet
communication
DevOps",30+ DAYS AGO
Senior Data Engineer - ETL/Data Modelling,SteerLean,3.6,(2 Reviews),5-10 Yrs,Not disclosed,Gurgaon/Gurugram,Key Skills Required : - Data Modelling,"Data Modelling
Data Lake
ETL
Big Data
AWS
IT Skills
DevOps
CI/CD",30+ DAYS AGO
Senior .Net Engineer/Architect || Full Time Position,Compunnel,3.8,(94 Reviews),10-20 Yrs,Not disclosed,"Noida, Delhi / NCR",Job Title Sr. .Net Engineer/ArchitectJob Location Noida (Temporarily remote)Experience ...,".net
technical design
ado.net
mvc
sql",30+ DAYS AGO
AI/ML Sr. Engineer,FutureSoft (India),3.8,(136 Reviews),8-10 Yrs,Not disclosed,Gurgaon/Gurugram,Mine and analyze data from company databases to drive improvement of business strategie...,"predictive modeling
AI
revenue generation
business rules
Deployment
Monitoring
Supervision",30+ DAYS AGO
Senior Engineer - Patching,VELOCITY TECH-SOL INDIA PVT. LTD,4,(40 Reviews),2-5 Yrs,Not disclosed,Gurgaon/Gurugram,Proficient in administering and managing patch operations for the internal & customers ...,"Azure
Windows Server
Hyper - V
Vmware
Aws
Troubleshooting
Active Directory
Application Server",30+ DAYS AGO
Engineer / Sr. Engineer - ALEXA,Mybox Technologies,4.3,(14 Reviews),3-5 Yrs,Not disclosed,"Delhi, Bengaluru",5 years of experience in architecting S / W system and solutions in Android,"written communication
Android
verbal
Architecting",30+ DAYS AGO
Senior HPC Systems Engineer,DataDirect Networks Inc.,3.8,(6 Reviews),6-11 Yrs,Not disclosed,Gurgaon/Gurugram,Experience in SAN and NAS RAID Appliance is requiredDesired experience in clustering pa...,"SAN
Appliances
Data management
Presales
SMB
Customer relationship
Life sciences
Windows",24 DAYS AGO
Sr. Automation Engineer,AgreeYa,3.4,(108 Reviews),4-8 Yrs,Not disclosed,Noida,Mandatory Skills:- Must be able to create automation framework for angular applications...,"Cypress
CI / CD
Java
Selenium Grid
Oracle
Scrum
Selenium
Protractor",30+ DAYS AGO
Senior Test Automation Lead Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,"Strong experience with POM and with BDD test automation frameworks using Cucumber-JVM, ...","IT Skills
Java
Testing
Selenium
Artificial Intelligence
Cloud
DevOps
ERP",30+ DAYS AGO
Sr. IAM Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,"Bachelor degree in Computer Science or related field, OR equivalent combination of educ...","SailPoint IAM
Computer science
PCI DSS
ISO
Access management
Cobit
Information security
HIPAA",30+ DAYS AGO
Senior Data Engineer,Microsoft,4.3,(667 Reviews),4-7 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru","Experience in building, deploying, and improving large scale Machine Learning models an...","Natural Language Processing
cause analysis
Computer Vision
Machine Learning
Information Retrieval
NLP
software development
deep learning",30+ DAYS AGO
Senior Piping Design Engineer,Enventure Engineering,2.8,(23 Reviews),5-8 Yrs,Not disclosed,Faridabad,"Attention to detail and commitment to quality a must in reviewing, checking and clash c...","3D modelling
3D modeling
Chemical
PDF
AutoCAD
Mechanical
Cost estimation
Vendor",26 DAYS AGO
Senior Cloud Big Data Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,"Education: Bachelors degree Candidate should have: Experience designing, developing, an...","Azure SQL
Azure
TFS
MPP
data management
Apache
Spark
C# net",30+ DAYS AGO
Senior ML Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Education: Bachelors degree Should be comfortable working with structured Unstructured ...,"IT Skills
Machine Learning
Unix
Text mining
deep learning
Consumer insights
Data processing
Data structures",30+ DAYS AGO
Senior SIEM Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,"Proficiency in operating systems, database platforms, web technologies, firewalls, and ...","IT Skills
Python
Cloud
AWS
Azure
Root cause analysis
Linux
ISO",30+ DAYS AGO
Senior SAP QM Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Education: Bachelors degree Candidate should be able to: Provide technical and GMP assi...,"Supply chain
SAP QM
SAP QM module
Manufacturing process
Master data management
QMS
data governance
SAP quality management",30+ DAYS AGO
Sr. Tableau Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,"Bachelor s Degree in Business, Marketing, Mathematics, Computer Science or Statistics, ...","data analysis
digital analytics
data visualizations
analytical
Google Analytics
Tableau
Adobe Analytics
Computer science",30+ DAYS AGO
Sr. Cassandra Database Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,"Strong Oracle, Cassandra DBA with 5 - 7 years of experience with the below AWS env know...","IT Skills
Cloud
DBA
Oracle
Jenkins
AWS
Performance tuning
Automation",30+ DAYS AGO
Oracle IaaS Cloud Developer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Education: Bachelors degree Candidate should have: Experience with modern development a...,"VMware
SAN
Automation
Linux
Enterprise architecture
Configuration management
Storage Area Network
Windows",30+ DAYS AGO
Sr.Deep Learning Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Education: Bachelors degree Candidate should have: Working experience in performance tu...,"Tensorflow
performance tuning
python
Azure
R
written communication
agile
verbal",30+ DAYS AGO
Senior UX Research Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Education: Bachelors degree Candidate should be able to: determines and recommends the ...,"Online research
Application design
Statistical analysis
Illustrator
data reporting
Psychology
Tool design
Management",30+ DAYS AGO
Senior AI Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Education: Bachelors degree Optimize the design practices for building AI/ML models Per...,"IT Skills
Python
Data Science
Machine Learning
DevOps
Unix
Capacity management
Powershell",30+ DAYS AGO
Sr CRM Implementation Engineer,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Education: Bachelors degree Candidate should have Solve technical and non-technical pro...,"Salesforce
Planview
Microsoft Project
troubleshooting
CRM
ERP
Salesforce CRM
people management",30+ DAYS AGO
Azure Data Engineer / Consultant / Sr. Consultant,IFI Techsolutions,4,(17 Reviews),1-6 Yrs,Not disclosed,"Mumbai, Delhi / NCR","• Thorough experience in Azure Data Factory, Data Bricks, Synapse Analytics, etc• Exper...","Azure Data Factory
Azure Data
Synapse Analytics
PowerBI Desktop
Data Bricks
data warehousing
communication
SQL queries",28 DAYS AGO
Senior Test Engineer | Infinite Computer Solutions | New Delhi,Infinite Computer Solutions India Ltd.,4,(567 Reviews),5-8 Yrs,Not disclosed,New Delhi,Analysis of multiple automation tools required for creating an automation solutionStron...,"automation framework
Automation Testing
OTT
Katalon
OOPS
Java
Appium
Gherkin",28 DAYS AGO
Senior Test Engineer | Infinte Computer Solutions| Delhi,Infinite Computer Solutions India Ltd.,4,(567 Reviews),5-9 Yrs,Not disclosed,New Delhi,Hands-on experience in testing of OTT / Media domain applications on Embedded products ...,"manual testing
test cases
testing concepts
DVR
DASH
IT Skills
Testing",28 DAYS AGO
Senior Traffic Engineer,Voyants Solutions (P)Ltd.,3.8,(235 Reviews),15-20 Yrs,Not disclosed,"Hyderabad, Gurgaon","Job Description 15 years and above experience in evaluating, planning & implementation ...","Business improvement
Construction
Urban planning
Planning coordination
Formulation
Safety management
Project planning
Safety audit",30+ DAYS AGO
Sr. Highway Design Engineer,Voyants Solutions (P)Ltd.,3.8,(235 Reviews),10-15 Yrs,Not disclosed,"Kolkata, Hyderabad, Gurgaon",Job Description Carrying out the design and review the work of Assistant Engineers and ...,"Software design
AutoCAD
Design calculations
CAD
Microstation
highway design
DGM
Troubleshooting",30+ DAYS AGO
Senior Datawarehouse Engineer With Redshift,Anicalls,4.7,(2 Reviews),5-10 Yrs,Not disclosed,Noida,Experience in Migration of on-premise database structures to AWS Redshift data warehous...,"AWS Data
Redshift Datawarehouse
RedShift
S3 data lake
Firehose Data Prep
SQL
AWS Redshift
Lambda Data Prep",30+ DAYS AGO
Fullstack Developer - .Net Core & Angular 6.0+,AgreeYa Solutions,3.4,(108 Reviews),2-7 Yrs,"6,00,000 - 12,00,000 PA.","Noida, Delhi / NCR",Role/Project Description SSE Full StackExperience: 2+ YearsJob Location: Noida Mandator...,".Net Core
Angular
IT Skills
Java
Software Development
MS SQL
Javascript
ASP.Net",3 DAYS AGO
Senior Solutions Engineer - Azure,i2k2 Networks (P) Ltd.,4,(36 Reviews),8-13 Yrs,Not disclosed,Noida,"Excellent knowledge of federated identity systems (Microsoft ADFS), multi-factor authen...","Dhcp
Windows Server
Dns
Microsoft Azure
Disaster Recovery
Troubleshooting
Active Directory",30+ DAYS AGO
Senior Test Engineer - Automation || Full Time Position,Compunnel,3.8,(94 Reviews),4-9 Yrs,Not disclosed,"Noida, Delhi / NCR",Job Title Sr. Test Engineer - AutomationJob Location Noida (Temporarily Remote)Experien...,"Java
automation testing
Selenium
IT Skills
Testing
MS SQL
Node.js
Mobile Testing",30 DAYS AGO
Engineer / Senior Engineer - NOC,VELOCITY TECH-SOL INDIA PVT. LTD,4,(40 Reviews),1-4 Yrs,Not disclosed,Gurgaon/Gurugram,To provide support services for customer in coordination with technical teams Good Writ...,"IT Skills
Cloud
Unix
Change Management
Communication Skills
Bmc Remedy
Ticketing Tools
Technical Support",30+ DAYS AGO
Engineer / Senior Engineer - NOC,VELOCITY TECH-SOL INDIA PVT. LTD,4,(40 Reviews),1-4 Yrs,Not disclosed,Gurgaon/Gurugram,To provide support services for customer in coordination with technical teams Good Writ...,"IT Skills
Cloud
Unix
Change Management
Communication Skills
Bmc Remedy
Ticketing Tools
Technical Support",30+ DAYS AGO
Sr.Devops Engineer,Netsmartz Infotech (India) Pvt. Ltd,3.3,(59 Reviews),4-6 Yrs,"4,00,000 - 9,00,000 PA.","Noida, Mohali, Gurgaon/Gurugram","Experience with IAC and automation tools (Bash, Python, Terraform)Experience with Backu...","IAM
API Management
Lambda
Cloud services Azure
AKS
EC2
Cloudwatch
ECR",30+ DAYS AGO
Senior Solution Engineer,Syneos Health,4.1,(179 Reviews),4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",9 years of experience in the data engineering technologies and building and operational...,"Java
Hadoop
SQL
Apache
Restful API
Oracle
MySQL
Azure Cloud architecture",30+ DAYS AGO
Sr . QA Engineer,Midas IT Services India Pvt Ltd,4,(22 Reviews),7-12 Yrs,Not disclosed,Delhi,Experience required: - 7+ years Good knowledge in Manual & Automation framework using s...,"IT Skills
Quality Assurance
Selenium
automation framework
Selenium RC
Team leading
Manager Quality Assurance
Test scripts",30+ DAYS AGO
"QEG Engineer/ Sr. Engineer at Einfochips, Ahmedabad/Pune",Einfochips,3.7,(172 Reviews),2-6 Yrs,Not disclosed,"Pune, Ahmedabad",Looking for candidates from IT sector only Experience in Process Definition/ Improvemen...,"IT Skills
Quality Assurance
Project Management
BPO
project management
Quality Audit
Six Sigma
Metrics",12 DAYS AGO
Hybris Developer,Wunderman Thompson Commerce Private Limited,4.1,(28 Reviews),6-11 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",Experience with Hybris (B2C and B2B) Strong development skills in Hybris & Java. Develo...,"B2C and B2B
Java
Hybris
IT Skills",5 DAYS AGO
Front End Node JS React Js Developer - Chennai / Bangalore,Altimetrik,4.1,(372 Reviews),5-8 Yrs,Not disclosed,"Pune, Chennai, Jaipur, Bangalore/Bengaluru, Delhi / NCR","Should be able to work in an agile, dynamic team environment Should possess at least 5 ...","Javascript
Node.Js
React.Js
IT Skills
Testing
CSS
AWS
.Net",8 DAYS AGO
Senior NOC Engineer,V Soft Consulting,2.5,(41 Reviews),5-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Mission essential status requires individuals to work off-peak shifts, weekends and hol...","monitoring tools
incident management
atlassian
networking",6 DAYS AGO
"Faculty For Software Testing(Mannual & Automation) , Offline classes",Magneq software,4.4,(8 Reviews),16 May - 25 May,"6,00,000 - 12,00,000 PA.",Hyderabad/Secunderabad(Begumpet),"Employment Type: Full time, PermanentShould have good exposure to both practical & theo...","selenium
technical skills
communication skills
communication
java
Automation
IT Skills
Testing",7 DAYS AGO
IT Specialist,BizBox Publishing,3.7,(28 Reviews),5-10 Yrs,"7,00,000 - 9,00,000 PA.",Remote,"Windows CMD / Powershell / Batch, Task SchedulingRelevant vendor certification programs...","technical support
networking
IT Skills
Cloud
DevOps
Jenkins
AWS
Salesforce",7 DAYS AGO
Senior UI Developer,AgreeYa,3.4,(108 Reviews),4-6 Yrs,Not disclosed,Noida,Mandatory Qualifications Bachelors degree in a relevant field or equivalent experience ...,"UI development
CSS
Web technologies
Business Analyst
html5
Javascript
Flex
HTML",30+ DAYS AGO
Hiring Certified Project Manager-14+ years,Hexaware Technologies,3.7,(2526 Reviews),14-24 Yrs,Not disclosed,"Noida, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",We are hiring Project Manager who have done any project management certificationProject...,"project management
ITIL
IT Skills
BPO
project Manager",9 DAYS AGO
Dot Net Sr. Developer,AgreeYa,3.4,(108 Reviews),9-12 Yrs,Not disclosed,Noida,BS / BE/BTECH / MCA graduate Soft Skills (Minimum) Work Experience Requirements Prefera...,"IIS
jQuery
Production support
Coding
XML
Consulting
HTML
Project planning",30+ DAYS AGO
